Header,Fieldname,Type,Description
Preparer_of_Inc_Rpt,Preparer of Incident Report ,Text,"Function of preparers business; carrier, shipper, facility owner/operator of the incident report preparer. Taken from Form DOT F 5800.1, Section VIII."
Desc_of_Events,Description of Events ,Text,"The Text entered in the –Description of Events and Packaging Failure,” Part VI of Form DOT F 5800.1 "
Recommend_Actions_Taken,Recommendations/Actions Taken ,Text,"The Text entered in the –Recommendations/Actions Taken to Prevent Recurrence,” Part VII of Form DOT F 5800.1 "
HMIS_Serious_Inc_Ind,HMIS Serious Incident Ind ,Text,The values are 'Yes' or 'No' and are based on the new definition of a serious incident. See http://hazmat.dot.gov/pubs/inc/serious_incident_new_def.pdf for definition.
HMIS_Serious_Fatal,HMIS Serious Fatality ,Text,The values are 'Yes' or 'No' and are based on the new definition of a serious incident. See http://hazmat.dot.gov/pubs/inc/serious_incident_new_def.pdf for definition.
HMIS_Serious_Inj,HMIS Serious Injury ,Text,The values are 'Yes' or 'No' and are based on the new definition of a serious incident. See http://hazmat.dot.gov/pubs/inc/serious_incident_new_def.pdf for definition.
HMIS_Serious_Flight_Plan,HMIS Serious Flight Plan ,Text,The values are 'Yes' or 'No' and are based on the new definition of a serious incident. See http://hazmat.dot.gov/pubs/inc/serious_incident_new_def.pdf for definition.
HMIS_Serious_Evac,HMIS Serious Evacuations ,Text,The values are 'Yes' or 'No' and are based on the new definition of a serious incident. See http://hazmat.dot.gov/pubs/inc/serious_incident_new_def.pdf for definition.
HMIS_Serious_Major_Artery,HMIS Serious Major Artery ,Text,The values are 'Yes' or 'No' and are based on the new definition of a serious incident. See http://hazmat.dot.gov/pubs/inc/serious_incident_new_def.pdf for definition.
HMIS_Serious_Bulk_Release,HMIS Serious Bulk Release ,Text,The values are 'Yes' or 'No' and are based on the new definition of a serious incident. See http://hazmat.dot.gov/pubs/inc/serious_incident_new_def.pdf for definition.
HMIS_Serious_Marine_Pollutant,HMIS Serious Marine Pollutant ,Text,The values are 'Yes' or 'No' and are based on the new definition of a serious incident. See http://hazmat.dot.gov/pubs/inc/serious_incident_new_def.pdf for definition.
HMIS_Serious_Radioactive,HMIS Serious Radioactive ,Text,The values are 'Yes' or 'No' and are based on the new definition of a serious incident. See http://hazmat.dot.gov/pubs/inc/serious_incident_new_def.pdf for definition.
HMIS_General_Pkg_Type,HMIS Container Short Descr ,Text,"The container short description assigned by PHMSA based on Packaging Description, Identification Markings (Form DOT F 5800.1, Section III, #24, #26a and #26b) or the Description of Events (Form DOT 5800.1, Section VI) "
HMIS_Container_Code,HMIS Container Code ,Text,"The container code assigned by PHMSA based on Packaging Description, Identification Markings (Form DOT F 5800.1, Section III, #24, #26a and #26b) or the Description of Events (Form DOT 5800.1, Section VI)"
HMIS_Container_Desc,HMIS Container Description ,Text,"The container description assigned by PHMSA based on Packaging Description, Identification Markings (Form DOT F 5800.1, Section III, #24, #26a and #26b) or the Description of Events (Form DOT 5800.1, Section VI) "
HMIS_Bulk_Inc_Ind,HMIS Bulk Incident Indicator ,Text,"Identifies if the incident involved a bulk or non bulk package. Assigns a value of 'Yes' or 'No' based on the container size. Form DOT F 5800.1, Section III, #24 and #27."
Undeclared_Shpmt,Undeclared Shipment ,Text,"Identifies if the incident had an undeclared shipment. Assigns a value of 'Yes' or 'No' based on the information provided in Form DOT F 5800.1, Section I, #1 and Section II, #23."
Inc_City_clean,Incident City Clean,Text,Manually added
rowcnt,Row Count for report,Numeric,Manually added
Commod_Short_Name_Cleaned,Commodity Short Name (Cleaned),Text,Manually added
